127.0.0.1 - - [11/Sep/2017:21:34:12 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:43:58 +0530] "GET /College/register.jsp?admin_name=aa&admin_password1=aa&admin_password2=aa HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:44:08 +0530] "GET /College/register.jsp?admin_name=aa&admin_password1=aa&admin_password2=aa HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:44:12 +0530] "GET /College/index.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:44:12 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:44:14 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:44:22 +0530] "GET /College/register.jsp?admin_name=aaa&admin_password1=aaa&admin_password2=aaa HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:46:13 +0530] "GET /College/index.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:46:13 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:56:42 +0530] "GET /College/index.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:56:42 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:56:44 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:56:58 +0530] "GET /College/register.jsp?admin_name=Admin&admin_password1=Admin&admin_password2=Admin HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:57:18 +0530] "GET /College/index.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:57:18 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:58:49 +0530] "GET /College/index.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:58:49 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:59:06 +0530] "GET /College/index.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [11/Sep/2017:21:59:07 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:00:00 +0530] "GET /College/index.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:00:00 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:00:01 +0530] "GET /College/about.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:00:04 +0530] "GET /College/index.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:00:05 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:01:08 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:01:22 +0530] "GET /College/register.jsp?admin_name=Admin&admin_password1=aaa&admin_password2=aaa HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:03:52 +0530] "GET /College/index.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:03:52 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:04:19 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:04:30 +0530] "GET /College/register.jsp?admin_name=aa&admin_password1=aa&admin_password2=aa HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:06:42 +0530] "GET /College/index.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:06:42 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:06:45 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:06:53 +0530] "GET /College/register.jsp?admin_name=aa&admin_password1=a&admin_password2=a HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:07:36 +0530] "GET /College/index.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:07:36 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:08:03 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:08:11 +0530] "GET /College/register.jsp?admin_name=a&admin_password1=a&admin_password2=a HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [11/Sep/2017:22:11:24 +0530] "GET /College/register.jsp?admin_name=a&admin_password1=a&admin_password2=a HTTP/1.1" 200 3168
